agg_level_pseo,inst_level,institution,degree_level,cip_level,cipcode,grad_cohort,grad_cohort_years,geo_level,geography,ind_level,industry,y1_p25_earnings,y1_p50_earnings,y1_p75_earnings,y1_grads_earn,y5_p25_earnings,y5_p50_earnings,y5_p75_earnings,y5_grads_earn,y10_p25_earnings,y10_p50_earnings,y10_p75_earnings,y10_grads_earn,y1_ipeds_count,y5_ipeds_count,y10_ipeds_count,status_y1_earnings,status_y1_grads_earn,status_y5_earnings,status_y5_grads_earn,status_y10_earnings,status_y10_grads_earn,status_ipeds_count
38,I,1368,3,A,0,0,5,N,0,A,0,21190,34178,53096,1424,26255,38906,57339,1213,31279,46087,63353,623,3029,1830,926,1,1,1,1,1,1,1
38,I,1370,5,A,0,0,3,N,0,A,0,21775,31767,45882,47212,34494,50179,71127,31424,45277,67146,101713,17152,85074,66758,30872,1,1,1,1,1,1,1
38,I,1370,7,A,0,0,5,N,0,A,0,40026,55996,79837,9893,49608,71566,103710,6837,56434,82479,126437,3364,16715,10452,5209,1,1,1,1,1,1,1
38,I,1370,17,A,0,0,5,N,0,A,0,41640,56705,81318,3414,55330,74187,105623,2115,62260,86466,123637,973,4912,2980,1411,1,1,1,1,1,1,1
38,I,1370,18,A,0,0,5,N,0,A,0,44014,58015,81741,1776,61962,82292,121943,1178,63838,96657,156303,512,2518,1636,779,1,1,1,1,1,1,1
38,I,1372,5,A,0,0,3,N,0,A,0,18852,25852,35250,3943,27058,39328,53079,2743,34010,49127,70836,1540,6726,5383,2764,1,1,1,1,1,1,1
38,I,1372,7,A,0,0,5,N,0,A,0,32264,39832,48864,148,,,,,,,,,180,,,1,1,-1,-1,-1,-1,1
38,I,2325,5,A,0,0,3,N,0,A,0,25159,40084,59577,52686,40332,58661,84854,39079,54130,81791,126578,23307,105896,82005,38694,1,1,1,1,1,1,1
38,I,2325,6,A,0,0,5,N,0,A,0,35882,51523,72761,578,47321,63583,80331,291,63005,86867,110432,92,204,116,76,1,1,1,1,1,1,1
38,I,2325,7,A,0,0,5,N,0,A,0,36815,61907,100459,32887,53841,84646,129204,20278,66078,103257,162567,9570,54250,33479,16427,1,1,1,1,1,1,1
38,I,2325,17,A,0,0,5,N,0,A,0,44816,64679,97791,6930,62745,86922,120243,4476,74217,104363,147570,2068,11468,7154,3189,1,1,1,1,1,1,1
38,I,2325,18,A,0,0,5,N,0,A,0,49428,76634,139807,7276,76278,131385,204671,5413,105736,173497,297823,2339,10723,7011,3354,1,1,1,1,1,1,1
38,I,3599,5,A,0,0,3,N,0,A,0,30235,40609,50464,23459,41071,48651,59471,14652,45359,53227,66617,6811,35253,26604,10744,1,1,1,1,1,1,1
38,I,3599,7,A,0,0,5,N,0,A,0,45951,55182,69061,7721,50931,60879,75857,4472,54247,65665,81956,1769,9296,5400,2217,1,1,1,1,1,1,1
38,I,3599,17,A,0,0,5,N,0,A,0,79752,93376,110827,147,82842,104331,127621,81,67646,98403,129854,37,194,111,47,1,1,1,1,1,1,1
38,I,3656,5,A,0,0,3,N,0,A,0,33756,48189,64076,43170,43152,57667,76316,23144,50404,67688,96184,11593,65440,45429,18897,1,1,1,1,1,1,1
38,I,3656,7,A,0,0,5,N,0,A,0,47767,62425,82917,21516,57847,78831,107167,10986,64913,94239,130970,4620,29927,15970,6974,1,1,1,1,1,1,1
38,I,3656,17,A,0,0,5,N,0,A,0,55980,76724,106245,1242,63768,88922,121618,682,82297,105430,140715,217,1811,975,377,1,1,1,1,1,1,1
38,I,3658,5,A,0,0,3,N,0,A,0,31873,46503,63969,80420,44251,60784,88519,55293,53546,80411,126457,29688,131318,103263,50613,1,1,1,1,1,1,1
38,I,3658,7,A,0,0,5,N,0,A,0,43904,64282,99503,31591,56911,86391,131088,19109,64124,101654,166756,8545,43286,27821,13534,1,1,1,1,1,1,1
38,I,3658,17,A,0,0,5,N,0,A,0,51824,71330,104066,8518,61460,85593,123511,5265,69786,97548,143994,2384,11890,7582,3467,1,1,1,1,1,1,1
38,I,3658,18,A,0,0,5,N,0,A,0,76768,126084,171930,6478,89761,137143,202363,4430,86959,138043,205257,1811,8409,5928,3042,1,1,1,1,1,1,1
38,I,3659,5,A,0,0,3,N,0,A,0,50697,61905,74670,4274,54346,69987,87788,2220,58808,79104,98436,1196,5440,4070,1790,1,1,1,1,1,1,1
38,I,3659,7,A,0,0,5,N,0,A,0,58450,78043,97557,1908,64720,87485,111946,1050,66110,89080,111692,378,2398,1461,570,1,1,1,1,1,1,1
38,I,3659,17,A,0,0,5,N,0,A,0,39110,51946,88711,403,56258,82849,125716,260,70975,100343,159573,121,604,339,157,1,1,1,1,1,1,1
38,I,3659,18,A,0,0,5,N,0,A,0,45652,55583,70850,3450,83562,146688,224722,2192,149400,233123,403597,1081,4790,2970,1467,1,1,1,1,1,1,1
38,I,3661,5,A,0,0,3,N,0,A,0,27758,42288,55344,22748,40794,53160,65284,13715,47702,58779,77417,6701,39592,29517,11360,1,1,1,1,1,1,1
38,I,3661,7,A,0,0,5,N,0,A,0,45257,58301,71706,8636,53405,65486,84713,4981,56694,71936,97977,2045,12081,6821,2920,1,1,1,1,1,1,1
38,I,3661,17,A,0,0,5,N,0,A,0,50731,68771,94664,503,60839,78907,106069,224,60771,83043,110506,103,826,352,143,1,1,1,1,1,1,1
38,I,3661,18,A,0,0,5,N,0,A,0,61144,74807,97737,62,,,,,,,,,92,,,1,1,-1,-1,-1,-1,1
38,I,3895,5,A,0,0,3,N,0,A,0,23808,35357,51281,61566,37611,52928,73859,43583,48186,70030,104960,23964,117829,91966,43051,1,1,1,1,1,1,1
38,I,3895,7,A,0,0,5,N,0,A,0,39879,55637,79412,16898,49552,70073,99579,12205,56139,81907,124492,5947,29780,19214,9838,1,1,1,1,1,1,1
38,I,3895,17,A,0,0,5,N,0,A,0,43804,59396,86288,7040,57484,77153,107861,4674,69064,92699,127221,2046,10992,6969,3273,1,1,1,1,1,1,1
38,I,3895,18,A,0,0,5,N,0,A,0,46778,61263,97880,6713,66291,100381,146368,4554,79989,124315,198115,1910,9622,6260,3068,1,1,1,1,1,1,1
38,I,4506,1,A,0,0,5,N,0,A,0,20873,29902,43665,3181,26656,39758,56809,2032,32672,49075,68776,946,5607,3228,1390,1,1,1,1,1,1,1
38,I,4506,2,A,0,0,5,N,0,A,0,25525,36312,50468,512,34217,51363,68003,370,42080,57955,74536,187,821,428,248,1,1,1,1,1,1,1
38,I,4506,3,A,0,0,5,N,0,A,0,18949,26490,40590,2929,23329,33695,48628,2067,28719,42417,60657,982,5668,3201,1542,1,1,1,1,1,1,1
38,I,4506,5,A,0,0,3,N,0,A,0,21091,28960,40964,126,,,,,,,,,237,,,1,1,-1,-1,-1,-1,1
38,I,4508,5,A,0,0,3,N,0,A,0,24650,35649,49175,14976,35234,49485,67832,8896,42082,61576,88322,4018,26316,19455,8506,1,1,1,1,1,1,1
38,I,4508,7,A,0,0,5,N,0,A,0,41219,55635,78287,20210,50457,68542,97860,12384,56471,78991,115457,5446,26572,16775,7993,1,1,1,1,1,1,1
38,I,4508,17,A,0,0,5,N,0,A,0,43230,59576,92994,832,53472,77431,110241,438,59011,96691,146281,110,1386,841,248,1,1,1,1,1,1,1
38,I,4508,18,A,0,0,5,N,0,A,0,51787,71844,114065,3657,78613,114467,152812,2074,95013,129667,203893,353,4844,2243,314,1,1,1,1,1,1,1
38,I,4509,5,A,0,0,3,N,0,A,0,22677,32428,45124,10384,32197,45035,62301,6328,39314,57221,80151,3237,18326,13802,5933,1,1,1,1,1,1,1
38,I,4509,6,A,0,0,5,N,0,A,0,,,,,,,,,,,,,29,,,5,5,-1,-1,-1,-1,1
38,I,4509,7,A,0,0,5,N,0,A,0,38717,53101,80447,5193,46010,64941,99627,3473,50461,73031,112349,1617,7478,4942,2388,1,1,1,1,1,1,1
38,I,4509,8,A,0,0,5,N,0,A,0,,,,,,,,,,,,,6,,,5,5,-1,-1,-1,-1,1
38,I,4509,17,A,0,0,5,N,0,A,0,66481,86313,110655,87,,,,,,,,,128,45,19,1,1,5,5,5,5,1
38,I,4509,18,A,0,0,5,N,0,A,0,,,,,,,,,,,,,47,13,,5,5,5,5,-1,-1,1
38,I,4951,5,A,0,0,3,N,0,A,0,54967,66991,79336,2812,58673,75653,94658,1187,64337,87703,117505,442,3710,2448,868,1,1,1,1,1,1,1
38,I,4951,7,A,0,0,5,N,0,A,0,49011,72321,109663,4000,60996,94703,135917,2170,72611,109297,160579,1035,5792,3234,1557,1,1,1,1,1,1,1
38,I,4951,17,A,0,0,5,N,0,A,0,45447,63522,95671,1255,56274,83198,118019,771,77245,113647,163702,302,1654,1008,431,1,1,1,1,1,1,1
38,I,4951,18,A,0,0,5,N,0,A,0,49402,55472,64308,3053,92459,159229,235416,2041,147950,234099,401641,987,4299,2622,1262,1,1,1,1,1,1,1
38,I,4952,5,A,0,0,3,N,0,A,0,54156,66597,80970,3767,58067,76083,95757,2033,63343,85918,111090,1143,4694,3387,1606,1,1,1,1,1,1,1
38,I,4952,7,A,0,0,5,N,0,A,0,66664,84174,104667,2370,70245,92100,118153,1235,66352,90799,118912,408,2720,1456,515,1,1,1,1,1,1,1
38,I,4952,17,A,0,0,5,N,0,A,0,42012,53933,82099,434,54526,78465,107674,307,76433,107376,163702,124,617,396,176,1,1,1,1,1,1,1
38,I,4952,18,A,0,0,5,N,0,A,0,46458,53689,60769,2650,88863,160729,237433,1543,158480,252814,429270,760,3505,2001,946,1,1,1,1,1,1,1
38,I,5596,1,A,0,0,5,N,0,A,0,25356,39712,65100,2525,23456,32641,44371,454,24904,35874,50949,447,21304,14160,2761,1,1,1,1,1,1,1
38,I,5596,2,A,0,0,5,N,0,A,0,27933,40266,53507,1221,32560,48898,66574,759,38060,56072,79073,857,6282,5193,4016,1,1,1,1,1,1,1
38,I,7582,1,A,0,0,5,N,0,A,0,19209,26844,39451,4368,26006,38116,55338,3528,32397,50415,70222,1414,9278,4988,1926,1,1,1,1,1,1,1
38,I,7582,2,A,0,0,5,N,0,A,0,23689,34259,48596,1014,31181,45638,61829,835,37621,53398,75737,447,1590,1182,702,1,1,1,1,1,1,1
38,I,7582,3,A,0,0,5,N,0,A,0,20323,29065,41876,3651,27783,39119,53577,2911,32199,45682,63215,1428,6685,4093,2081,1,1,1,1,1,1,1
38,I,7582,4,A,0,0,5,N,0,A,0,,,,,,,,,,,,,,,,5,5,5,5,-1,-1,3
38,I,7933,1,A,0,0,5,N,0,A,0,19194,26540,38838,9545,25996,38484,54391,7177,33898,48880,69455,2968,19564,10605,3886,1,1,1,1,1,1,1
38,I,7933,2,A,0,0,5,N,0,A,0,22426,30683,40790,2394,33781,47090,61475,2079,38583,52520,68512,1292,3837,2724,1710,1,1,1,1,1,1,1
38,I,7933,3,A,0,0,5,N,0,A,0,21644,32364,47052,9543,28437,41136,57357,7019,34501,49472,69359,3224,17519,9749,4502,1,1,1,1,1,1,1
38,I,8896,1,A,0,0,5,N,0,A,0,18115,24916,35910,3542,23878,34404,49889,2844,29074,41278,59140,856,9116,4617,1289,1,1,1,1,1,1,1
38,I,8896,2,A,0,0,5,N,0,A,0,19519,26466,35351,1127,25522,35710,49781,862,30363,43256,58958,438,2202,1333,699,1,1,1,1,1,1,1
38,I,8896,3,A,0,0,5,N,0,A,0,21033,30453,44796,6678,26845,39198,56057,4998,31739,47158,67507,2285,14561,8572,4199,1,1,1,1,1,1,1
38,I,9542,1,A,0,0,5,N,0,A,0,18784,25943,35197,1571,23435,31931,46448,959,24355,35274,53108,434,3425,1686,799,1,1,1,1,1,1,1
38,I,9542,2,A,0,0,5,N,0,A,0,23649,33545,45837,1594,33119,48206,64729,1421,35278,53821,71058,729,2567,2047,1139,1,1,1,1,1,1,1
38,I,9542,3,A,0,0,5,N,0,A,0,24569,37180,54756,3599,31578,48037,65435,2687,35520,52313,72658,1267,6747,4103,1954,1,1,1,1,1,1,1
38,I,9543,1,A,0,0,5,N,0,A,0,20225,29011,44650,4942,27725,41202,58452,3495,33781,50773,70400,1652,9995,4905,2179,1,1,1,1,1,1,1
38,I,9543,2,A,0,0,5,N,0,A,0,30219,45678,64893,1632,39422,54455,77291,998,38496,58102,81908,501,2485,1396,744,1,1,1,1,1,1,1
38,I,9543,3,A,0,0,5,N,0,A,0,22329,33754,52345,3983,29710,43972,64577,2823,36955,53276,77089,1325,7378,4017,1960,1,1,1,1,1,1,1
38,I,9741,5,A,0,0,3,N,0,A,0,32068,45743,60810,20587,43750,59597,81308,12675,51509,73592,106399,5913,33339,24652,10480,1,1,1,1,1,1,1
38,I,9741,7,A,0,0,5,N,0,A,0,51230,70945,97769,18316,65084,92043,126045,9606,74886,108805,153430,4320,26893,14085,6461,1,1,1,1,1,1,1
38,I,9741,17,A,0,0,5,N,0,A,0,56641,85623,120465,1366,62260,92094,129971,697,60027,97228,144816,216,1924,1044,357,1,1,1,1,1,1,1
38,I,9741,18,A,0,0,5,N,0,A,0,56351,68705,81333,57,40449,59124,80226,32,,,,,53,8,,1,1,1,1,5,5,
38,I,9930,5,A,0,0,3,N,0,A,0,31317,40127,49565,5297,39221,46447,61912,3093,43341,53062,78074,1559,7739,5880,2552,1,1,1,1,1,1,1
38,I,9930,7,A,0,0,5,N,0,A,0,44853,53089,68175,1731,49012,58727,75510,972,53747,64844,86787,393,2069,1152,498,1,1,1,1,1,1,1
38,I,9981,1,A,0,0,5,N,0,A,0,19205,27614,44276,944,24010,35667,53788,761,31385,46769,69600,438,2656,1738,838,1,1,1,1,1,1,1
38,I,9981,2,A,0,0,5,N,0,A,0,19518,26687,35277,383,28598,43240,58943,320,30119,52107,69054,144,881,488,226,1,1,1,1,1,1,1
38,I,9981,3,A,0,0,5,N,0,A,0,20954,32077,49214,1131,26192,37464,54775,977,31551,43535,62095,415,2214,1350,564,1,1,1,1,1,1,1
38,I,10019,5,A,0,0,3,N,0,A,0,41638,52822,66133,653,47899,63513,89413,476,48367,76103,105480,345,664,657,430,1,1,1,1,1,1,1
38,I,10019,7,A,0,0,5,N,0,A,0,50724,71957,101310,1111,57512,83531,111435,621,56157,83325,109095,240,1211,772,321,1,1,1,1,1,1,1
38,I,10019,17,A,0,0,5,N,0,A,0,42957,50670,62466,767,57240,80595,116219,457,77892,113106,174658,192,1344,711,247,1,1,1,1,1,1,1
38,I,10019,18,A,0,0,5,N,0,A,0,47363,54097,60386,2792,82281,149637,228511,1743,176650,269182,441890,824,3225,2106,1007,1,1,1,1,1,1,1
38,I,10115,5,A,0,0,3,N,0,A,0,28483,40220,51441,35400,38886,49587,65319,21378,45414,57938,83417,10497,55478,41408,17556,1,1,1,1,1,1,1
38,I,10115,7,A,0,0,5,N,0,A,0,41119,52576,69040,10456,48426,61124,85237,6082,52294,68446,102043,2544,13876,8064,3531,1,1,1,1,1,1,1
38,I,10115,17,A,0,0,5,N,0,A,0,50086,73362,104464,510,58221,84284,108292,192,,,,,712,259,30,1,1,1,1,5,5,1
38,I,11163,5,A,0,0,3,N,0,A,0,31203,42335,58979,10611,37451,49961,70177,5916,40979,56212,82764,2808,14830,11243,4455,1,1,1,1,1,1,1
38,I,11163,7,A,0,0,5,N,0,A,0,42893,56398,77032,3765,48896,63837,87323,1597,50611,65094,93397,597,4565,2041,898,1,1,1,1,1,1,1
38,I,11163,17,A,0,0,5,N,0,A,0,73018,90856,111587,49,,,,,,,,,56,,,1,1,-1,-1,-1,-1,1
38,I,12875,1,A,0,0,5,N,0,A,0,18660,25915,39467,768,19602,27334,36075,117,22329,40449,76433,64,4708,1455,266,1,1,1,1,1,1,1
38,I,12875,2,A,0,0,5,N,0,A,0,20466,30293,43764,386,25703,36128,51988,360,29250,45756,60689,364,5310,3422,1526,1,1,1,1,1,1,1
38,I,21163,1,A,0,0,5,N,0,A,0,17161,23097,33260,1861,22438,30490,44334,991,24392,34676,55032,251,6564,1524,321,1,1,1,1,1,1,1
38,I,21163,2,A,0,0,5,N,0,A,0,21271,30021,39323,1841,28947,41258,54523,1456,35001,49605,64522,594,3222,2100,775,1,1,1,1,1,1,1
38,I,21163,3,A,0,0,5,N,0,A,0,22341,33899,47862,4506,27660,39624,55187,3234,31014,43957,60055,1438,8309,4831,2194,1,1,1,1,1,1,1
38,I,22769,1,A,0,0,5,N,0,A,0,25826,41155,55334,1921,34576,52400,70148,1387,43771,65029,93052,850,3542,1942,1105,1,1,1,1,1,1,1
38,I,22769,2,A,0,0,5,N,0,A,0,28402,38744,50582,954,30124,42356,58193,589,34776,47056,65610,209,1457,805,304,1,1,1,1,1,1,1
38,I,22769,3,A,0,0,5,N,0,A,0,22531,33839,46146,3124,29011,42404,58321,2375,34455,49242,69782,1163,5932,3540,1654,1,1,1,1,1,1,1
38,I,25554,5,A,0,0,3,N,0,A,0,46380,57597,70770,817,58118,71606,92775,277,69680,89968,102409,48,1163,717,177,1,1,1,1,1,1,1
38,I,30646,5,A,0,0,3,N,0,A,0,28153,38522,46497,8741,37754,44367,53336,5403,41579,47511,57343,2538,13214,9995,3866,1,1,1,1,1,1,1
38,I,30646,7,A,0,0,5,N,0,A,0,46202,53304,62442,2469,50530,57854,68366,1479,53694,60528,71960,643,2926,1681,787,1,1,1,1,1,1,1
38,I,30646,17,A,0,0,5,N,0,A,0,,,,,,,,,,,,,20,,,5,5,-1,-1,-1,-1,1
38,I,42087,5,A,0,0,3,N,0,A,0,37605,54145,80261,2090,,,,,,,,,3369,438,,1,1,5,5,-1,-1,1
38,I,42087,7,A,0,0,5,N,0,A,0,45944,63407,90694,1392,59756,74536,103078,39,,,,,1402,,,1,1,1,1,-1,-1,
38,I,42439,7,A,0,0,5,N,0,A,0,,,,,,,,,,,,,9,,,5,5,-1,-1,-1,-1,1
42,I,1345,3,4,24.01,0,5,N,0,A,0,15477,21368,29225,219,24962,33592,48237,147,31254,45383,62508,83,886,253,126,1,1,1,1,1,1,1
42,I,1345,5,4,16.09,0,3,N,0,A,0,,,,,31423,43000,60771,42,,,,,51,48,29,5,5,1,1,5,5,1
42,I,1345,5,4,23.01,0,3,N,0,A,0,18982,24096,30092,94,28401,37928,44848,81,31314,40896,52858,51,176,147,88,1,1,1,1,1,1,1
42,I,1345,5,4,23.13,0,3,N,0,A,0,,,,,,,,,,,,,28,18,1,5,5,5,5,5,5,1
42,I,1345,5,4,24.01,0,3,N,0,A,0,20998,28598,35753,642,27965,34983,42806,417,30111,37971,46915,219,1058,827,373,1,1,1,1,1,1,1
42,I,1345,5,4,26.01,0,3,N,0,A,0,16885,24499,33302,93,30288,41058,50731,75,44356,55693,67646,50,219,180,102,1,1,1,1,1,1,1
42,I,1345,5,4,27.01,0,3,N,0,A,0,27512,31857,39729,32,,,,,,,,,65,49,20,1,1,5,5,5,5,1
